train_number,train_name,source,destination,travel_class,booking_date,travel_date,days_before_travel,waitlist_position,month,day_of_week,is_festival_season,is_peak_season,is_weekend,train_type,confirmed,total_seats_class,cancellation_rate
12951,Mumbai Rajdhani,KOTA,NDLS,2A,2025-11-06,2026-01-31,86,0,1,5,False,False,True,Rajdhani,True,307,0.06
12953,August Kranti Rajdhani,BRC,KOTA,1A,2025-11-22,2026-02-09,79,0,2,0,False,False,False,Rajdhani,True,164,0.196
12909,Garib Rath,ST,BRC,3A,2025-10-08,2026-01-30,114,0,1,4,False,False,False,Garib Rath,True,313,0.231
12953,August Kranti Rajdhani,MMCT,KOTA,2A,2025-10-10,2026-01-25,107,0,1,6,False,False,True,Rajdhani,True,362,0.233
12953,August Kranti Rajdhani,KOTA,NDLS,3A,2026-01-19,2026-02-01,13,16,2,6,False,False,True,Rajdhani,True,130,0.269
12621,Tamil Nadu Express,AGC,NDLS,3A,2025-12-06,2026-02-26,82,0,2,3,False,False,False,Superfast,True,120,0.087
12903,Golden Temple Mail,SWM,NDLS,2A,2026-02-09,2026-03-12,31,0,3,3,True,False,False,Superfast,True,186,0.162
12137,Punjab Mail,ET,NDLS,2A,2026-02-28,2026-03-19,19,81,3,3,True,False,False,Mail,True,259,0.319
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2025-12-25,2026-01-12,18,67,1,0,False,False,False,Duronto,True,134,0.18
12137,Punjab Mail,CSMT,NDLS,2A,2025-11-30,2026-03-25,115,0,3,2,True,False,False,Mail,True,373,0.344
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2025-12-16,2026-04-08,113,0,4,2,True,True,False,Duronto,True,205,0.266
12909,Garib Rath,ST,BRC,3A,2025-11-24,2026-03-19,115,0,3,3,True,False,False,Garib Rath,True,125,0.26
12621,Tamil Nadu Express,BSL,NDLS,GN,2025-11-27,2026-02-24,89,0,2,1,False,False,False,Superfast,True,382,0.171
12903,Golden Temple Mail,BRC,RTM,2A,2025-12-16,2026-02-22,68,0,2,6,False,False,True,Superfast,True,114,0.206
12261,Mumbai Duronto Central,CSMT,NDLS,1A,2026-01-16,2026-03-22,65,0,3,6,True,False,True,Duronto,True,224,0.277
12267,Mumbai Duronto,MMCT,NDLS,3A,2026-01-19,2026-02-18,30,55,2,2,False,False,False,Duronto,True,240,0.128
12261,Mumbai Duronto Central,CSMT,NDLS,1A,2025-12-29,2026-04-04,96,0,4,5,True,True,True,Duronto,True,279,0.139
12951,Mumbai Rajdhani,SWM,NDLS,1A,2025-12-13,2026-03-26,103,0,3,3,True,False,False,Rajdhani,True,371,0.25
12187,Mumbai Garib Rath,KYN,JHS,3A,2026-03-01,2026-04-06,36,39,4,0,True,True,False,Garib Rath,True,121,0.264
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2026-01-19,2026-03-26,66,0,3,3,True,False,False,Duronto,True,234,0.186
12267,Mumbai Duronto,MMCT,NDLS,1A,2026-01-07,2026-01-18,11,55,1,6,False,False,True,Duronto,False,278,0.073
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2025-12-31,2026-03-15,74,0,3,6,True,False,True,Duronto,True,275,0.257
12621,Tamil Nadu Express,JHS,AGC,3A,2025-11-24,2026-01-27,64,0,1,1,False,False,False,Superfast,True,284,0.089
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2025-11-16,2026-01-15,60,0,1,3,False,False,False,Duronto,True,110,0.23
12137,Punjab Mail,KYN,MMR,3A,2025-12-06,2026-02-17,73,0,2,1,False,False,False,Mail,False,128,0.085
12925,Paschim Express,KOTA,MTJ,SL,2025-11-13,2026-01-14,62,0,1,2,False,False,False,Superfast,True,122,0.285
12137,Punjab Mail,CSMT,ET,3A,2026-01-07,2026-02-03,27,0,2,1,False,False,False,Mail,True,84,0.311
12137,Punjab Mail,JHS,MTJ,GN,2025-12-28,2026-02-23,57,0,2,0,False,False,False,Mail,True,360,0.09
12267,Mumbai Duronto,MMCT,NDLS,SL,2026-02-02,2026-02-21,19,12,2,5,False,False,True,Duronto,True,259,0.166
12137,Punjab Mail,ET,MTJ,1A,2025-12-13,2026-03-08,85,0,3,6,True,False,True,Mail,True,380,0.077
12267,Mumbai Duronto,MMCT,NDLS,1A,2025-12-31,2026-03-23,82,0,3,0,True,False,False,Duronto,True,366,0.213
12951,Mumbai Rajdhani,BRC,SWM,3A,2025-09-21,2026-01-13,114,0,1,1,False,False,False,Rajdhani,True,322,0.104
12951,Mumbai Rajdhani,KOTA,SWM,1A,2025-12-26,2026-04-11,106,0,4,5,True,True,True,Rajdhani,True,346,0.183
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2026-03-09,2026-03-14,5,22,3,5,True,False,True,Duronto,True,62,0.308
12909,Garib Rath,BRC,NDLS,3A,2026-01-09,2026-01-23,14,0,1,4,False,False,False,Garib Rath,True,180,0.28
12267,Mumbai Duronto,MMCT,NDLS,2A,2026-03-23,2026-03-30,7,0,3,0,True,False,False,Duronto,True,202,0.167
12909,Garib Rath,BVI,NDLS,3A,2026-01-26,2026-02-28,33,27,2,5,False,False,True,Garib Rath,True,172,0.276
12187,Mumbai Garib Rath,KYN,GWL,3A,2026-01-31,2026-02-14,14,0,2,5,False,False,True,Garib Rath,True,83,0.195
12137,Punjab Mail,MTJ,NDLS,1A,2026-02-16,2026-03-22,34,0,3,6,True,False,True,Mail,True,334,0.245
12267,Mumbai Duronto,MMCT,NDLS,SL,2026-03-23,2026-04-02,10,0,4,3,True,True,False,Duronto,True,241,0.212
12267,Mumbai Duronto,MMCT,NDLS,SL,2026-01-06,2026-01-11,5,128,1,6,False,False,True,Duronto,False,384,0.342
12951,Mumbai Rajdhani,MMCT,NDLS,2A,2025-11-28,2026-02-12,76,0,2,3,False,False,False,Rajdhani,True,244,0.35
12903,Golden Temple Mail,MTJ,NDLS,2A,2026-02-28,2026-03-20,20,0,3,4,True,False,False,Superfast,True,112,0.299
12261,Mumbai Duronto Central,CSMT,NDLS,1A,2025-12-28,2026-03-16,78,0,3,0,True,False,False,Duronto,True,212,0.315
12909,Garib Rath,ST,NDLS,3A,2026-01-08,2026-02-11,34,22,2,2,False,False,False,Garib Rath,True,285,0.338
12909,Garib Rath,MMCT,ST,3A,2025-12-25,2026-03-12,77,0,3,3,True,False,False,Garib Rath,False,54,0.252
12137,Punjab Mail,GWL,NDLS,SL,2025-11-25,2026-03-02,97,0,3,0,True,False,False,Mail,True,382,0.245
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2026-02-10,2026-02-25,15,49,2,2,False,False,False,Duronto,False,140,0.302
12951,Mumbai Rajdhani,MMCT,NDLS,2A,2025-10-08,2026-02-04,119,0,2,2,False,False,False,Rajdhani,True,163,0.273
12925,Paschim Express,KOTA,SWM,2A,2025-12-16,2026-03-30,104,0,3,0,True,False,False,Superfast,True,163,0.12
12621,Tamil Nadu Express,BPL,JHS,SL,2026-02-07,2026-04-11,63,0,4,5,True,True,True,Superfast,True,157,0.052
12137,Punjab Mail,KYN,BPL,GN,2026-01-10,2026-03-15,64,0,3,6,True,False,True,Mail,True,149,0.248
12187,Mumbai Garib Rath,GWL,NDLS,3A,2025-11-13,2026-01-27,75,0,1,1,False,False,False,Garib Rath,True,115,0.128
12187,Mumbai Garib Rath,KYN,NDLS,3A,2026-03-14,2026-04-07,24,4,4,1,True,True,False,Garib Rath,True,322,0.234
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2026-01-15,2026-04-07,82,0,4,1,True,True,False,Duronto,True,76,0.306
12909,Garib Rath,BRC,NDLS,3A,2026-03-24,2026-04-08,15,100,4,2,True,True,False,Garib Rath,False,72,0.315
12903,Golden Temple Mail,MMCT,RTM,GN,2025-12-31,2026-03-09,68,0,3,0,True,False,False,Superfast,True,250,0.108
12953,August Kranti Rajdhani,KOTA,NDLS,3A,2026-03-12,2026-04-09,28,82,4,3,True,True,False,Rajdhani,False,150,0.099
12925,Paschim Express,BVI,MTJ,2A,2026-03-10,2026-03-13,3,180,3,4,True,False,False,Superfast,False,370,0.331
12925,Paschim Express,BRC,RTM,GN,2026-01-24,2026-02-23,30,7,2,0,False,False,False,Superfast,True,171,0.333
12187,Mumbai Garib Rath,JHS,NDLS,3A,2025-12-19,2026-03-09,80,0,3,0,True,False,False,Garib Rath,True,93,0.342
12951,Mumbai Rajdhani,SWM,NDLS,3A,2026-01-19,2026-01-27,8,8,1,1,False,False,False,Rajdhani,True,204,0.233
12137,Punjab Mail,KYN,MMR,1A,2025-11-07,2026-01-17,71,0,1,5,False,False,True,Mail,True,245,0.171
12187,Mumbai Garib Rath,BPL,JHS,3A,2026-01-02,2026-03-01,58,22,3,6,True,False,True,Garib Rath,True,367,0.08
12951,Mumbai Rajdhani,SWM,NDLS,3A,2025-12-31,2026-01-24,24,0,1,5,False,False,True,Rajdhani,True,353,0.287
12903,Golden Temple Mail,BL,MTJ,SL,2026-01-19,2026-03-05,45,24,3,3,True,False,False,Superfast,True,174,0.091
12951,Mumbai Rajdhani,MMCT,KOTA,2A,2025-12-23,2026-03-07,74,0,3,5,True,False,True,Rajdhani,True,383,0.276
12925,Paschim Express,ST,RTM,GN,2026-02-18,2026-03-29,39,0,3,6,True,False,True,Superfast,True,315,0.226
12267,Mumbai Duronto,MMCT,NDLS,1A,2026-01-01,2026-02-24,54,7,2,1,False,False,False,Duronto,False,153,0.286
12909,Garib Rath,BVI,NDLS,3A,2026-01-23,2026-04-09,76,0,4,3,True,True,False,Garib Rath,True,346,0.22
12909,Garib Rath,KOTA,NDLS,3A,2025-12-20,2026-01-31,42,0,1,5,False,False,True,Garib Rath,True,71,0.199
12951,Mumbai Rajdhani,BRC,NDLS,1A,2026-01-31,2026-03-31,59,0,3,1,True,False,False,Rajdhani,True,219,0.292
12137,Punjab Mail,MMR,MTJ,2A,2025-09-28,2026-01-11,105,0,1,6,False,False,True,Mail,True,87,0.157
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2025-12-10,2026-02-04,56,0,2,2,False,False,False,Duronto,True,72,0.343
12903,Golden Temple Mail,ST,KOTA,3A,2026-01-16,2026-02-13,28,0,2,4,False,False,False,Superfast,True,141,0.109
12267,Mumbai Duronto,MMCT,NDLS,1A,2025-12-22,2026-04-07,106,0,4,1,True,True,False,Duronto,True,385,0.286
12953,August Kranti Rajdhani,BRC,RTM,2A,2025-12-14,2026-02-10,58,12,2,1,False,False,False,Rajdhani,True,319,0.343
12187,Mumbai Garib Rath,BPL,NDLS,3A,2026-01-14,2026-01-29,15,17,1,3,False,False,False,Garib Rath,True,243,0.258
12909,Garib Rath,KOTA,NDLS,3A,2025-09-21,2026-01-16,117,0,1,4,False,False,False,Garib Rath,True,350,0.107
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2025-12-17,2026-01-17,31,21,1,5,False,False,True,Duronto,False,310,0.341
12621,Tamil Nadu Express,BSL,ET,GN,2025-12-25,2026-04-05,101,0,4,6,True,True,True,Superfast,True,135,0.203
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2025-12-05,2026-02-02,59,11,2,0,False,False,False,Duronto,True,297,0.265
12621,Tamil Nadu Express,AGC,NDLS,GN,2026-01-04,2026-03-26,81,0,3,3,True,False,False,Superfast,True,156,0.116
12903,Golden Temple Mail,SWM,MTJ,GN,2026-01-23,2026-02-19,27,55,2,3,False,False,False,Superfast,True,241,0.126
12953,August Kranti Rajdhani,ST,BRC,2A,2026-01-21,2026-03-18,56,0,3,2,True,False,False,Rajdhani,False,312,0.236
12137,Punjab Mail,JHS,NDLS,SL,2026-01-06,2026-02-27,52,0,2,4,False,False,False,Mail,True,62,0.104
12903,Golden Temple Mail,BRC,RTM,SL,2025-09-28,2026-01-21,115,0,1,2,False,False,False,Superfast,True,306,0.204
12953,August Kranti Rajdhani,BRC,RTM,1A,2026-01-05,2026-01-20,15,0,1,1,False,False,False,Rajdhani,True,150,0.253
12925,Paschim Express,RTM,MTJ,3A,2025-12-29,2026-03-29,90,0,3,6,True,False,True,Superfast,True,328,0.324
12951,Mumbai Rajdhani,KOTA,NDLS,2A,2025-11-23,2026-03-03,100,0,3,1,True,False,False,Rajdhani,True,346,0.277
12951,Mumbai Rajdhani,SWM,NDLS,2A,2026-01-11,2026-02-09,29,27,2,0,False,False,False,Rajdhani,False,332,0.277
12621,Tamil Nadu Express,BPL,JHS,SL,2025-10-19,2026-02-04,108,0,2,2,False,False,False,Superfast,True,263,0.113
12621,Tamil Nadu Express,CSMT,JHS,3A,2025-11-15,2026-01-27,73,0,1,1,False,False,False,Superfast,True,54,0.2
12909,Garib Rath,ST,BRC,3A,2026-02-13,2026-04-08,54,0,4,2,True,True,False,Garib Rath,True,325,0.14
12187,Mumbai Garib Rath,CSMT,GWL,3A,2025-10-02,2026-01-28,118,0,1,2,False,False,False,Garib Rath,True,219,0.22
12187,Mumbai Garib Rath,JHS,NDLS,3A,2026-02-04,2026-03-02,26,13,3,0,True,False,False,Garib Rath,True,105,0.149
12621,Tamil Nadu Express,ET,BPL,3A,2026-03-25,2026-04-07,13,0,4,1,True,True,False,Superfast,True,358,0.197
12267,Mumbai Duronto,MMCT,NDLS,SL,2026-01-01,2026-02-06,36,0,2,4,False,False,False,Duronto,True,282,0.067
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2025-11-14,2026-03-04,110,0,3,2,True,False,False,Duronto,True,106,0.089
12137,Punjab Mail,JHS,GWL,SL,2025-10-14,2026-02-06,115,0,2,4,False,False,False,Mail,True,155,0.143
12621,Tamil Nadu Express,MMR,AGC,SL,2025-11-22,2026-02-05,75,0,2,3,False,False,False,Superfast,True,400,0.188
12903,Golden Temple Mail,MMCT,ST,GN,2026-02-23,2026-03-03,8,117,3,1,True,False,False,Superfast,True,341,0.314
12621,Tamil Nadu Express,AGC,NDLS,2A,2026-02-26,2026-04-03,36,43,4,4,True,True,False,Superfast,False,202,0.167
12267,Mumbai Duronto,MMCT,NDLS,2A,2025-12-06,2026-03-31,115,0,3,1,True,False,False,Duronto,True,284,0.165
12267,Mumbai Duronto,MMCT,NDLS,1A,2026-01-01,2026-01-31,30,36,1,5,False,False,True,Duronto,False,391,0.325
12903,Golden Temple Mail,SWM,NDLS,2A,2025-12-04,2026-01-20,47,0,1,1,False,False,False,Superfast,True,216,0.173
12267,Mumbai Duronto,MMCT,NDLS,1A,2025-11-16,2026-01-14,59,0,1,2,False,False,False,Duronto,True,286,0.164
12137,Punjab Mail,MMR,MTJ,1A,2026-02-11,2026-02-12,1,39,2,3,False,False,False,Mail,True,287,0.195
12953,August Kranti Rajdhani,MMCT,NDLS,3A,2026-02-05,2026-03-08,31,0,3,6,True,False,True,Rajdhani,True,132,0.101
12951,Mumbai Rajdhani,MMCT,KOTA,2A,2026-03-05,2026-03-20,15,0,3,4,True,False,False,Rajdhani,True,55,0.253
12267,Mumbai Duronto,MMCT,NDLS,2A,2025-12-19,2026-01-15,27,0,1,3,False,False,False,Duronto,True,375,0.293
12953,August Kranti Rajdhani,RTM,NDLS,2A,2026-03-22,2026-03-28,6,0,3,5,True,False,True,Rajdhani,True,153,0.329
12909,Garib Rath,BVI,BRC,3A,2026-03-03,2026-03-05,2,25,3,3,True,False,False,Garib Rath,True,148,0.254
12953,August Kranti Rajdhani,ST,BRC,3A,2026-01-11,2026-02-01,21,6,2,6,False,False,True,Rajdhani,True,217,0.147
12903,Golden Temple Mail,ST,MTJ,GN,2025-11-06,2026-03-06,120,0,3,4,True,False,False,Superfast,True,159,0.082
12909,Garib Rath,BVI,ST,3A,2025-11-29,2026-02-20,83,0,2,4,False,False,False,Garib Rath,False,158,0.188
12953,August Kranti Rajdhani,BRC,NDLS,3A,2025-11-30,2026-01-16,47,3,1,4,False,False,False,Rajdhani,True,356,0.2
12953,August Kranti Rajdhani,KOTA,NDLS,2A,2026-03-16,2026-03-28,12,63,3,5,True,False,True,Rajdhani,False,397,0.327
12267,Mumbai Duronto,MMCT,NDLS,3A,2025-12-19,2026-04-06,108,0,4,0,True,True,False,Duronto,True,221,0.055
12187,Mumbai Garib Rath,BPL,GWL,3A,2026-01-22,2026-03-27,64,0,3,4,True,False,False,Garib Rath,True,56,0.12
12187,Mumbai Garib Rath,CSMT,BPL,3A,2025-12-02,2026-03-06,94,0,3,4,True,False,False,Garib Rath,True,367,0.074
12267,Mumbai Duronto,MMCT,NDLS,3A,2026-01-05,2026-01-30,25,0,1,4,False,False,False,Duronto,False,356,0.347
12621,Tamil Nadu Express,BPL,JHS,SL,2026-02-22,2026-04-03,40,39,4,4,True,True,False,Superfast,True,262,0.244
12925,Paschim Express,MMCT,RTM,SL,2025-12-30,2026-02-11,43,0,2,2,False,False,False,Superfast,True,390,0.347
12903,Golden Temple Mail,KOTA,NDLS,SL,2026-02-13,2026-03-08,23,0,3,6,True,False,True,Superfast,True,148,0.066
12267,Mumbai Duronto,MMCT,NDLS,1A,2026-03-05,2026-03-27,22,106,3,4,True,False,False,Duronto,False,170,0.202
12137,Punjab Mail,JHS,MTJ,2A,2025-11-05,2026-02-05,92,0,2,3,False,False,False,Mail,True,140,0.232
12925,Paschim Express,RTM,NDLS,3A,2026-02-07,2026-03-13,34,4,3,4,True,False,False,Superfast,True,243,0.1
12621,Tamil Nadu Express,JHS,NDLS,3A,2025-11-29,2026-03-13,104,0,3,4,True,False,False,Superfast,False,245,0.178
12953,August Kranti Rajdhani,BRC,NDLS,3A,2026-03-03,2026-03-22,19,0,3,6,True,False,True,Rajdhani,True,282,0.135
12261,Mumbai Duronto Central,CSMT,NDLS,2A,2026-02-23,2026-03-12,17,0,3,3,True,False,False,Duronto,True,56,0.308
12909,Garib Rath,BRC,NDLS,3A,2025-11-02,2026-03-02,120,0,3,0,True,False,False,Garib Rath,True,241,0.165
12925,Paschim Express,BVI,KOTA,2A,2025-10-01,2026-01-26,117,0,1,0,False,False,False,Superfast,True,339,0.099
12137,Punjab Mail,BSL,NDLS,3A,2026-02-05,2026-04-11,65,0,4,5,True,True,True,Mail,True,238,0.259
12137,Punjab Mail,BPL,GWL,2A,2025-11-15,2026-01-15,61,0,1,3,False,False,False,Mail,True,235,0.239
12951,Mumbai Rajdhani,BRC,SWM,3A,2026-02-09,2026-04-08,58,0,4,2,True,True,False,Rajdhani,True,389,0.302
12951,Mumbai Rajdhani,MMCT,BRC,3A,2025-11-30,2026-03-01,91,0,3,6,True,False,True,Rajdhani,True,350,0.342
12953,August Kranti Rajdhani,KOTA,NDLS,2A,2026-02-13,2026-03-06,21,49,3,4,True,False,False,Rajdhani,False,322,0.248
12137,Punjab Mail,AGC,NDLS,SL,2025-10-18,2026-01-22,96,0,1,3,False,False,False,Mail,True,343,0.283
12909,Garib Rath,BVI,KOTA,3A,2025-11-03,2026-03-02,119,0,3,0,True,False,False,Garib Rath,True,53,0.346
12621,Tamil Nadu Express,CSMT,MMR,2A,2026-01-01,2026-04-10,99,0,4,4,True,True,False,Superfast,True,263,0.246
12137,Punjab Mail,NMD,ET,3A,2026-03-19,2026-04-11,23,0,4,5,True,True,True,Mail,True,106,0.185
12903,Golden Temple Mail,BL,BRC,2A,2025-10-31,2026-02-03,95,0,2,1,False,False,False,Superfast,True,148,0.128
12137,Punjab Mail,JHS,GWL,2A,2026-02-07,2026-02-17,10,0,2,1,False,False,False,Mail,True,225,0.059
12903,Golden Temple Mail,SWM,NDLS,2A,2026-01-17,2026-01-18,1,78,1,6,False,False,True,Superfast,True,71,0.079
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2025-12-10,2026-02-14,66,0,2,5,False,False,True,Duronto,True,292,0.277
12187,Mumbai Garib Rath,BPL,GWL,3A,2025-11-28,2026-02-23,87,0,2,0,False,False,False,Garib Rath,True,172,0.332
12137,Punjab Mail,BPL,NDLS,1A,2026-01-08,2026-02-22,45,0,2,6,False,False,True,Mail,True,255,0.268
12267,Mumbai Duronto,MMCT,NDLS,3A,2025-11-14,2026-02-11,89,0,2,2,False,False,False,Duronto,True,366,0.256
12621,Tamil Nadu Express,JHS,AGC,2A,2025-12-02,2026-02-21,81,0,2,5,False,False,True,Superfast,False,234,0.312
12909,Garib Rath,BRC,KOTA,3A,2026-02-07,2026-03-30,51,0,3,0,True,False,False,Garib Rath,True,293,0.346
12953,August Kranti Rajdhani,RTM,NDLS,3A,2026-01-05,2026-01-29,24,67,1,3,False,False,False,Rajdhani,False,308,0.06
12621,Tamil Nadu Express,KYN,ET,GN,2026-02-16,2026-03-09,21,22,3,0,True,False,False,Superfast,True,174,0.113
12953,August Kranti Rajdhani,MMCT,KOTA,3A,2026-01-28,2026-01-31,3,93,1,5,False,False,True,Rajdhani,False,162,0.266
12621,Tamil Nadu Express,KYN,AGC,3A,2025-11-22,2026-03-20,118,0,3,4,True,False,False,Superfast,True,301,0.077
12909,Garib Rath,BVI,ST,3A,2026-01-11,2026-02-28,48,0,2,5,False,False,True,Garib Rath,True,273,0.293
12903,Golden Temple Mail,BRC,RTM,SL,2026-01-14,2026-01-25,11,0,1,6,False,False,True,Superfast,True,146,0.273
12953,August Kranti Rajdhani,KOTA,NDLS,1A,2025-11-03,2026-02-20,109,0,2,4,False,False,False,Rajdhani,True,345,0.271
12925,Paschim Express,MMCT,RTM,GN,2025-12-28,2026-02-20,54,0,2,4,False,False,False,Superfast,True,114,0.206
12187,Mumbai Garib Rath,JHS,GWL,3A,2025-11-23,2026-01-12,50,18,1,0,False,False,False,Garib Rath,True,201,0.301
12621,Tamil Nadu Express,AGC,NDLS,SL,2026-03-19,2026-04-06,18,7,4,0,True,True,False,Superfast,True,113,0.132
12187,Mumbai Garib Rath,BPL,NDLS,3A,2025-12-16,2026-02-17,63,0,2,1,False,False,False,Garib Rath,True,242,0.068
12909,Garib Rath,BVI,BRC,3A,2025-10-20,2026-01-17,89,0,1,5,False,False,True,Garib Rath,True,141,0.307
12137,Punjab Mail,BSL,NDLS,2A,2026-03-20,2026-03-22,2,165,3,6,True,False,True,Mail,False,228,0.277
12137,Punjab Mail,KYN,MTJ,3A,2026-03-05,2026-04-10,36,0,4,4,True,True,False,Mail,True,251,0.079
12909,Garib Rath,KOTA,NDLS,3A,2026-02-05,2026-04-04,58,0,4,5,True,True,True,Garib Rath,True,297,0.137
12267,Mumbai Duronto,MMCT,NDLS,2A,2025-12-31,2026-04-04,94,0,4,5,True,True,True,Duronto,False,344,0.081
12267,Mumbai Duronto,MMCT,NDLS,2A,2025-09-22,2026-01-18,118,0,1,6,False,False,True,Duronto,True,292,0.104
12951,Mumbai Rajdhani,MMCT,SWM,3A,2025-12-06,2026-01-30,55,21,1,4,False,False,False,Rajdhani,True,110,0.122
12621,Tamil Nadu Express,ET,JHS,GN,2025-12-31,2026-04-09,99,0,4,3,True,True,False,Superfast,True,393,0.248
12621,Tamil Nadu Express,JHS,NDLS,GN,2025-11-26,2026-01-12,47,0,1,0,False,False,False,Superfast,True,378,0.251
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2026-01-11,2026-03-25,73,0,3,2,True,False,False,Duronto,True,98,0.288
12267,Mumbai Duronto,MMCT,NDLS,SL,2026-02-15,2026-03-25,38,0,3,2,True,False,False,Duronto,True,325,0.105
12951,Mumbai Rajdhani,SWM,NDLS,1A,2026-01-19,2026-03-26,66,0,3,3,True,False,False,Rajdhani,True,383,0.087
12903,Golden Temple Mail,BVI,BRC,3A,2026-03-23,2026-03-23,0,186,3,0,True,False,False,Superfast,True,155,0.246
12953,August Kranti Rajdhani,KOTA,NDLS,1A,2026-01-16,2026-01-26,10,0,1,0,False,False,False,Rajdhani,True,137,0.177
12951,Mumbai Rajdhani,BRC,SWM,1A,2025-12-13,2026-02-17,66,0,2,1,False,False,False,Rajdhani,True,277,0.092
12621,Tamil Nadu Express,BPL,NDLS,SL,2026-01-02,2026-03-20,77,0,3,4,True,False,False,Superfast,True,100,0.249
12951,Mumbai Rajdhani,BRC,KOTA,1A,2026-01-31,2026-02-18,18,28,2,2,False,False,False,Rajdhani,False,160,0.228
12925,Paschim Express,ST,NDLS,GN,2026-03-13,2026-03-22,9,0,3,6,True,False,True,Superfast,True,133,0.17
12953,August Kranti Rajdhani,BRC,NDLS,2A,2025-12-10,2026-04-09,120,0,4,3,True,True,False,Rajdhani,True,154,0.071
12925,Paschim Express,BRC,SWM,3A,2025-12-08,2026-01-30,53,11,1,4,False,False,False,Superfast,True,63,0.339
12903,Golden Temple Mail,BVI,KOTA,2A,2025-11-18,2026-01-25,68,0,1,6,False,False,True,Superfast,True,258,0.07
12953,August Kranti Rajdhani,BRC,KOTA,2A,2026-01-21,2026-02-08,18,0,2,6,False,False,True,Rajdhani,True,163,0.164
12953,August Kranti Rajdhani,MMCT,BRC,3A,2025-11-18,2026-02-19,93,0,2,3,False,False,False,Rajdhani,True,300,0.079
12909,Garib Rath,KOTA,NDLS,3A,2025-11-07,2026-01-23,77,0,1,4,False,False,False,Garib Rath,True,137,0.145
12137,Punjab Mail,NMD,GWL,GN,2026-01-17,2026-03-28,70,0,3,5,True,False,True,Mail,True,256,0.193
12267,Mumbai Duronto,MMCT,NDLS,2A,2025-11-04,2026-01-27,84,0,1,1,False,False,False,Duronto,True,340,0.271
12951,Mumbai Rajdhani,KOTA,SWM,3A,2025-12-18,2026-03-05,77,0,3,3,True,False,False,Rajdhani,True,143,0.182
12909,Garib Rath,BRC,NDLS,3A,2026-01-23,2026-03-18,54,34,3,2,True,False,False,Garib Rath,True,206,0.241
12953,August Kranti Rajdhani,BRC,KOTA,2A,2025-10-06,2026-01-22,108,0,1,3,False,False,False,Rajdhani,True,89,0.269
12953,August Kranti Rajdhani,ST,BRC,1A,2025-11-13,2026-02-16,95,0,2,0,False,False,False,Rajdhani,True,302,0.293
12951,Mumbai Rajdhani,SWM,NDLS,2A,2026-01-13,2026-03-17,63,0,3,1,True,False,False,Rajdhani,True,396,0.316
12953,August Kranti Rajdhani,RTM,KOTA,3A,2025-12-18,2026-01-11,24,55,1,6,False,False,True,Rajdhani,False,175,0.348
12261,Mumbai Duronto Central,CSMT,NDLS,1A,2025-12-23,2026-03-19,86,0,3,3,True,False,False,Duronto,True,139,0.073
12267,Mumbai Duronto,MMCT,NDLS,SL,2025-12-27,2026-02-28,63,0,2,5,False,False,True,Duronto,True,107,0.151
12903,Golden Temple Mail,MTJ,NDLS,SL,2026-02-03,2026-03-13,38,0,3,4,True,False,False,Superfast,False,373,0.221
12903,Golden Temple Mail,BRC,NDLS,2A,2025-11-12,2026-03-11,119,0,3,2,True,False,False,Superfast,True,299,0.067
12951,Mumbai Rajdhani,SWM,NDLS,2A,2025-12-10,2026-01-24,45,0,1,5,False,False,True,Rajdhani,True,255,0.156
12953,August Kranti Rajdhani,RTM,NDLS,1A,2026-03-09,2026-03-19,10,99,3,3,True,False,False,Rajdhani,False,299,0.052
12925,Paschim Express,BRC,MTJ,GN,2026-01-02,2026-02-18,47,0,2,2,False,False,False,Superfast,True,187,0.083
12621,Tamil Nadu Express,AGC,NDLS,3A,2026-01-21,2026-03-07,45,0,3,5,True,False,True,Superfast,True,151,0.083
12925,Paschim Express,MMCT,BRC,GN,2025-12-31,2026-02-22,53,0,2,6,False,False,True,Superfast,True,295,0.338
12925,Paschim Express,BVI,KOTA,GN,2026-01-04,2026-03-15,70,0,3,6,True,False,True,Superfast,True,115,0.147
12137,Punjab Mail,GWL,NDLS,SL,2026-01-09,2026-01-25,16,14,1,6,False,False,True,Mail,True,226,0.2
12903,Golden Temple Mail,MMCT,KOTA,GN,2025-10-28,2026-01-12,76,0,1,0,False,False,False,Superfast,True,198,0.135
12953,August Kranti Rajdhani,RTM,KOTA,3A,2026-02-26,2026-03-17,19,0,3,1,True,False,False,Rajdhani,True,184,0.348
12903,Golden Temple Mail,KOTA,SWM,GN,2025-10-26,2026-01-24,90,0,1,5,False,False,True,Superfast,True,307,0.233
